CRASH_RECORD_ID,RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
3c92c0ba557683fc0afa35ede1fe3a732f228b47d851b40f63deb43e1591b3ef06d141791213b0e14beab5d89cd4c8b862dfd3bc73cac3d3a1972fc6bc2e2ba5,JF334835,Y,07/28/2022 12:15:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,$500 OR LESS,07/28/2022 01:08:00 PM,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,800,S,RACINE AVE,1231,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,12,5,7,41.871755717,-87.656978261,POINT (-87.656978260514 41.871755717118)
4069f6363be17ffc3b89c5904788de7d70beb8c65c7db91844fa270ee83952de1d2f0f5cc95dc2433f0cc56662b36e3b82cd82b96e28b6fe29a7f822fb0edd80,JF338824,,07/31/2022 01:25:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,07/31/2022 02:15:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,2257,N,MILWAUKEE AVE,1431,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,13,1,7,41.922113666,-87.695840376,POINT (-87.695840376028 41.922113666397)
c520e8b1dea3566826ffbb3eee9792af62e9c8fd8a5c25bb72d52aab1db2609201b510fac728a3f755cd5c329da3727b8bde39067f132bfa80b5ed714a0c027f,JF320132,,07/16/2022 07:00:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,$500 OR LESS,07/16/2022 07:05:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,755,W,NORTH AVE,1822,,,,,,,2,NONINCAPACITATING INJURY,2,0,0,1,1,0,0,19,7,7,41.910813473,-87.648010451,POINT (-87.648010451475 41.910813472762)
d01ab5ab81f6f4de8c997ccb1dbd6c79df8bf823edc3c3676e76ffe4605557809e76e79ad54dd6e48c1318c2edf7b2a52900e0971ecace0a4dc8edc84fafde16,JF319702,,07/16/2022 12:20:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",07/16/2022 12:58:00 PM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,11000,S,AVENUE O,433,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,12,7,7,41.695406244,-87.540249742,POINT (-87.540249741986 41.695406244353)
d4cf755372ea9165b6a435d0760c53acd546df1ba09b7fcb8d4a4e8c1f2549c5e8dca0d2b9544dd2c22f2e06d124354f7e1d090056f01a5ec83657f7277e8c66,JF319940,,07/16/2022 05:00:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",07/16/2022 05:20:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,671,W,WRIGHTWOOD AVE,1935,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,17,7,7,41.929038709,-87.645481554,POINT (-87.645481554289 41.929038709004)
ebedc48c707921e7a6e0628af741fd5ec8dd8c103531af653aef1b17f4ce22f9465eb55687e9a0a47fb100551f9d6256e24fd49370433885273d83683600de11,JF319924,,07/16/2022 05:00:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,07/16/2022 05:03:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,6313,N,BROADWAY,2433,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,2,0,17,7,7,41.996800696,-87.660315738,POINT (-87.660315737553 41.996800695817)
23863f2f88765f21de3ae3796b1503b8dabcdb5ec46b9a8ecf9485929f8344e307a08e03511df3bffa9554e8d93d1ec0a805c2e477730fded0a3d51ec0f289f5,JF328459,N,07/17/2022 12:15:00 PM,30,NO CONTROLS,NO CONTROLS,UNKNOWN,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,07/23/2022 12:00:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,4920,N,BROADWAY,2033,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,12,1,7,41.972126199,-87.659901181,POINT (-87.659901181469 41.97212619936)
7c2e3e7bef3b70f6229154cc1d1ed75beac5b03eb8d430169b61ccb5a1fe0446fb890e38ffbbd4aac2c74a5713e54cb927040f15a41df488d5ae04cfcebf826d,JF272896,,06/09/2022 06:52:00 AM,25,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,T-INTERSECTION,,STRAIGHT AND LEVEL,DRY,"RUT, HOLES",ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",06/09/2022 07:02:00 AM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,50,N,TALMAN AVE,1222,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,6,5,6,41.882595454,-87.69236828,POINT (-87.692368280316 41.882595454098)
55fa99b578563de777608621260d12541a59f91cdc62f9f3332ce957b585f7e864631292f56685f94b0237ec4afd9b81113c8b6f27b2692670f83236f65d767f,JF320882,N,07/17/2022 03:00:00 PM,35,TRAFFIC SIGNAL,UNKNOWN,CLEAR,DAYLIGHT,PEDALCYCLIST,UNKNOWN INTERSECTION TYPE,,"CURVE, LEVEL",DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,$500 OR LESS,07/17/2022 03:06:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1800,S,HALSTED ST,1235,,,Y,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,1,7,41.858062658,-87.646795272,POINT (-87.646795271613 41.858062657592)
a826d657f120ad2c0f33da49a16136480d86fe2b0ada07076769909e89419c018404ac5bfe1f60ce25c2ff1369bfdea88df959d125a3ef0bf355c3fd2d7d12a2,JF320870,,07/17/2022 02:55:00 PM,25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",07/17/2022 02:56:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,IMPROPER LANE USAGE,2410,N,LECLAIRE AVE,2521,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,14,1,7,41.924541106,-87.753842497,POINT (-87.753842497041 41.924541105993)
d7b9ee25b8afa883049913ebc4a191beaf76751b65b3b343b6006af6480b53056f3ed04ef8ce393b45790131b372cba6d9ba53ac652f5a7acceefe4b74304cdf,JF320777,,07/17/2022 12:45:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,Y,,,"$501 - $1,500",07/17/2022 01:23:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1500,N,HALSTED ST,1822,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,12,1,7,41.908639592,-87.648360153,POINT (-87.648360152682 41.908639591728)
de64b65362961a73768c098cfd8ebf27e1c8ec8538dc131d9769eb770791334ec7a1c3ffcf367e67d06364db1d1982b4d0f8bba7242b2f6e0bb037c5ebb4d1bd,JF321999,,07/17/2022 04:00:00 PM,30,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",07/18/2022 01:35:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2803,N,RACINE AVE,1933,,,Y,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,16,1,7,41.932667665,-87.658567279,POINT (-87.658567279363 41.932667664936)
eebd346a344cb5f69fa39596d91f980caa1ba3413fcba197e8c927b3290cbc17a073fcac405b660c4683a020c35a1be09026807b1786a64333f599e50679619e,JF320795,,07/17/2022 12:30:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",07/17/2022 01:53:00 PM,DRIVING ON WRONG SIDE/WRONG WAY,IMPROPER LANE USAGE,98,W,15TH ST,131,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,12,1,7,,,
6b2a1e61348282fa75bd951445c7b39c2ba5e6b29407dc4db64f224df08b672449b28729afbb002696f92f63729c3078c4673a6667a229c07911bdc02bd5cdd7,JF339107,,07/31/2022 04:15:00 PM,30,OTHER,OTHER,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"$501 - $1,500",07/31/2022 04:16:00 PM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2971,S,FEDERAL ST,133,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,16,1,7,41.839939232,-87.628877199,POINT (-87.628877199009 41.839939231502)
1107cf6f241f66428a5850b32e487a336a0dbedf0b547aa6035e2140e578d264f691a5820de881f3d65f050daaf53fce45f45accebf8f5bfe2b80c3cded36c7c,JF339991,,08/01/2022 12:35:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,$500 OR LESS,08/01/2022 12:37:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1400,W,93RD ST,2222,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,12,2,8,41.725034399,-87.657966196,POINT (-87.657966195741 41.725034399179)
ca084a491b2aa47f3b2b14ec437929787cc1b94464546ead5e9e481dd052f11e0b6e099a7cc932aed544534bdfcffb477716047c47f1aa104d030772a78b5e28,JF339868,,08/01/2022 10:51:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,$500 OR LESS,08/01/2022 10:51:00 AM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,3045,E,83RD ST,424,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,10,2,8,41.744571576,-87.549761311,POINT (-87.549761311291 41.744571575858)
658dc335135978f4ea6b4cfbd67edfbfd725ab371e69507f72f91865de30e92b8bc65875edf3f0a9cc43a28ea835c5bd985d1e2d2f9555b99bd3ec352efc38a1,JF340455,,08/01/2022 05:53:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"OVER $1,500",08/01/2022 05:55:00 PM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO REDUCE SPEED TO AVOID CRASH,6801,N,WESTERN AVE,2411,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,17,2,8,42.005080074,-87.689924745,POINT (-87.689924744509 42.005080073905)
11f543dcac529e9ff01d82071adce68765fc7491136658989a916ec069b0ef7360d43b7b12b330f4cce8d9d0c3ffa1ef49adeb0bec325d059935ca260df18639,JF340380,,08/01/2022 05:00:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"$501 - $1,500",08/01/2022 05:05:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,6820,N,CALIFORNIA AVE,2411,,,Y,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,17,2,8,42.005438722,-87.699971206,POINT (-87.699971206358 42.00543872229)
99111da65e50167549024e98b33ad154319096a21f6a605e3536c8b62e533d4dfc89b9e874e17b9e04b34a19f420bac4733004e7d184c9732ff08b88412c7449,JF322252,,07/18/2022 04:18:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,OTHER,,STRAIGHT ON GRADE,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,N,,"OVER $1,500",07/18/2022 06:30:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,8300,S,KOSTNER AVE,834,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,16,2,7,41.741916078,-87.731527894,POINT (-87.731527894011 41.741916078034)
bee5bd179bc93ef4774d0333a424a7a8f725157759d9729d39a49ec0a26b8fb360bbec09ca1b31673ff6aaca688535831eb43caeca97d7da20847f61fadf5583,JF322484,Y,07/18/2022 06:30:00 PM,15,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,ALLEY,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"OVER $1,500",07/18/2022 06:39:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,UNABLE TO DETERMINE,3045,W,ARGYLE ST,1713,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,18,2,7,41.972005813,-87.705523046,POINT (-87.705523045897 41.972005812979)
7a3add2d9957181b4450919c027e36f1cb6598648d56e5de2edb2f11d6a956a56732f4b958476215d6e686a0727b0623b99c693ca763690cd5fa60309706f61f,JF298682,,06/29/2022 09:00:00 AM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,Y,,,"$501 - $1,500",06/29/2022 01:20:00 PM,DISREGARDING STOP SIGN,FAILING TO YIELD RIGHT-OF-WAY,320,N,HALSTED ST,1214,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,9,4,6,41.887411362,-87.647672532,POINT (-87.647672531697 41.887411361659)
0da6a649c85b9af58b01e529ddd1a32394c8ed613bf7030a9e060b2add9927c6ea640f0df569f527abfdcc5ac900e90f356c38f3deaad3483075bf59d3a7a313,JF340429,,08/01/2022 05:50:00 PM,15,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,DRIVEWAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",08/01/2022 05:50:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1125,S,CLINTON ST,124,,,,,,,2,INCAPACITATING INJURY,1,0,1,0,0,1,0,17,2,8,41.868238225,-87.64060652,POINT (-87.64060652024 41.868238225371)
02d6a4696164e267dbb3b21fd9ca0f8dc72f64139c57134e4ed12dd28bded8d3040d7ce93450b1fa0b01f05faba5cd7409c63f81cf0f6c4a73288be5448a0597,JF341918,,08/02/2022 06:50:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",08/02/2022 07:02:00 PM,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,2197,N,STOCKTON DR,1814,,,Y,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,4,0,18,3,8,41.921913305,-87.6355729,POINT (-87.635572899755 41.921913305078)
